"BehaviorSpace results (NetLogo 6.2.2)"
"AntsSwarmWars.nlogo"
"3 Swarms - 1"
"08/19/2022 03:16:02:617 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-50","50","-30","30"
"[run number]","nTrees","spawnChance","randomMap?","spawnRate","spiderStability","nutrition","showPS","nPrey","showPF","nAntlions","nSpiders","witherRate","startingCount","initFood","showPA","antWars","nEnergy","week","nFlowers","nBushes","[step]","count workers with [scent = 1]","count workers with [scent = 2]","count workers with [scent = 3]","food1Total","food2Total","food3Total"
"136","0","15","false","2","150","220","false","25","false","6","18","5","35","500","false","12","280","100","50","0","1701","33","8","19","1820","345","1025"
"128","0","15","false","2","150","220","false","25","false","6","12","5","45","500","false","48","280","100","50","0","2000","30","40","34","1255","1785","1300"
"135","0","15","false","2","150","220","false","25","false","6","18","5","35","500","false","12","280","100","50","0","2000","19","16","16","1125","670","775"
"137","0","15","false","2","150","220","false","25","false","6","18","5","35","500","false","24","270","80","50","0","1590","34","8","28","1675","730","1030"
"143","0","15","false","2","150","220","false","25","false","6","18","5","35","500","false","24","280","100","50","0","1220","40","9","24","1265","145","725"
"138","0","15","false","2","150","220","false","25","false","6","18","5","35","500","false","24","270","80","50","0","1778","14","23","9","1035","1420","650"
"140","0","15","false","2","150","220","false","25","false","6","18","5","35","500","false","24","270","100","50","0","1810","20","24","8","1810","1030","440"
"139","0","15","false","2","150","220","false","25","false","6","18","5","35","500","false","24","270","100","50","0","2000","20","13","26","1070","655","1375"
"144","0","15","false","2","150","220","false","25","false","6","18","5","35","500","false","24","280","100","50","0","1787","21","9","28","790","715","1020"
"141","0","15","false","2","150","220","false","25","false","6","18","5","35","500","false","24","280","80","50","0","1828","17","9","10","1025","845","690"
"142","0","15","false","2","150","220","false","25","false","6","18","5","35","500","false","24","280","80","50","0","2000","17","15","12","1055","1170","710"
"145","0","15","false","2","150","220","false","25","false","6","18","5","35","500","false","36","270","80","50","0","1877","15","9","25","1105","1040","990"
"150","0","15","false","2","150","220","false","25","false","6","18","5","35","500","false","36","280","80","50","0","1696","9","26","34","675","1420","1185"
"149","0","15","false","2","150","220","false","25","false","6","18","5","35","500","false","36","280","80","50","0","1883","30","9","16","1360","955","985"
"147","0","15","false","2","150","220","false","25","false","6","18","5","35","500","false","36","270","100","50","0","2000","16","24","14","750","1370","715"
"153","0","15","false","2","150","220","false","25","false","6","18","5","35","500","false","48","270","80","50","0","1590","9","14","28","450","695","875"
"146","0","15","false","2","150","220","false","25","false","6","18","5","35","500","false","36","270","80","50","0","1835","28","9","29","1765","720","1380"
"151","0","15","false","2","150","220","false","25","false","6","18","5","35","500","false","36","280","100","50","0","2000","11","11","21","860","675","960"
