"BehaviorSpace results (NetLogo 6.2.2)"
"AntsSwarmWars.nlogo"
"Experiment2"
"08/19/2022 19:36:21:419 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-30","30","-30","30"
"[run number]","spawnChance","spawnRate","witherRate","nutrition","nEnergy","week","initFood","startingCount","nAntlions","nSpiders","spiderStability","antWars","nTrees","nFlowers","nBushes","nPrey","showPS","showPF","showPA","[step]","count workers","food1Total","storedFoodTEST","spiderKills","lionKills","energyKills"
"3","20","2.5","5","230","280","85","500","40","14","12","150","35","25","50","15","25","false","false","false","39","39","105","472","0","2","0"
"1","20","2.5","5","230","280","85","500","40","14","12","150","35","25","50","15","25","false","false","false","42","39","90","488","0","3","0"
"2","20","2.5","5","230","280","85","500","40","14","12","150","35","25","50","15","25","false","false","false","44","43","75","464","0","0","0"
"3","20","2.5","5","230","280","85","500","40","14","12","150","35","25","50","15","25","false","false","false","40","38","105","485","0","3","0"
"2","20","2.5","5","230","280","85","500","40","14","12","150","35","25","50","15","25","false","false","false","45","43","75","464","0","0","0"
"1","20","2.5","5","230","280","85","500","40","14","12","150","35","25","50","15","25","false","false","false","43","39","90","488","0","3","0"
"3","20","2.5","5","230","280","85","500","40","14","12","150","35","25","50","15","25","false","false","false","41","38","105","485","0","3","0"
"1","20","2.5","5","230","280","85","500","40","14","12","150","35","25","50","15","25","false","false","false","44","38","90","488","0","4","0"
"3","20","2.5","5","230","280","85","500","40","14","12","150","35","25","50","15","25","false","false","false","42","38","110","491","0","3","0"
"2","20","2.5","5","230","280","85","500","40","14","12","150","35","25","50","15","25","false","false","false","46","43","75","470","0","0","0"
"1","20","2.5","5","230","280","85","500","40","14","12","150","35","25","50","15","25","false","false","false","45","38","90","488","0","4","0"
"3","20","2.5","5","230","280","85","500","40","14","12","150","35","25","50","15","25","false","false","false","43","37","110","491","0","4","0"
"2","20","2.5","5","230","280","85","500","40","14","12","150","35","25","50","15","25","false","false","false","47","43","75","470","0","0","0"
"3","20","2.5","5","230","280","85","500","40","14","12","150","35","25","50","15","25","false","false","false","44","37","110","491","0","4","0"
"2","20","2.5","5","230","280","85","500","40","14","12","150","35","25","50","15","25","false","false","false","48","43","75","473","0","0","0"
"3","20","2.5","5","230","280","85","500","40","14","12","150","35","25","50","15","25","false","false","false","45","37","110","491","0","4","0"
"3","20","2.5","5","230","280","85","500","40","14","12","150","35","25","50","15","25","false","false","false","46","37","115","494","0","4","0"
"1","20","2.5","5","230","280","85","500","40","14","12","150","35","25","50","15","25","false","false","false","46","38","100","496","0","4","0"
"2","20","2.5","5","230","280","85","500","40","14","12","150","35","25","50","15","25","false","false","false","49","43","75","473","0","0","0"
"3","20","2.5","5","230","280","85","500","40","14","12","150","35","25","50","15","25","false","false","false","47","37","115","497","0","4","0"
"2","20","2.5","5","230","280","85","500","40","14","12","150","35","25","50","15","25","false","false","false","50","43","75","476","0","0","0"
"1","20","2.5","5","230","280","85","500","40","14","12","150","35","25","50","15","25","false","false","false","47","38","105","499","0","4","0"
"3","20","2.5","5","230","280","85","500","40","14","12","150","35","25","50","15","25","false","false","false","48","37","120","497","0","4","0"
"1","20","2.5","5","230","280","85","500","40","14","12","150","35","25","50","15","25","false","false","false","48","38","105","499","0","4","0"
"2","20","2.5","5","230","280","85","500","40","14","12","150","35","25","50","15","25","false","false","false","51","43","75","476","0","0","0"
"3","20","2.5","5","230","280","85","500","40","14","12","150","35","25","50","15","25","false","false","false","49","37","120","500","0","4","0"
"1","20","2.5","5","230","280","85","500","40","14","12","150","35","25","50","15","25","false","false","false","49","38","105","499","0","4","0"
"2","20","2.5","5","230","280","85","500","40","14","12","150","35","25","50","15","25","false","false","false","52","43","75","476","0","0","0"
"3","20","2.5","5","230","280","85","500","40","14","12","150","35","25","50","15","25","false","false","false","50","37","120","500","0","4","0"
"2","20","2.5","5","230","280","85","500","40","14","12","150","35","25","50","15","25","false","false","false","53","43","75","476","0","0","0"
"3","20","2.5","5","230","280","85","500","40","14","12","150","35","25","50","15","25","false","false","false","51","37","120","500","0","4","0"
"2","20","2.5","5","230","280","85","500","40","14","12","150","35","25","50","15","25","false","false","false","54","43","75","476","0","0","0"
"3","20","2.5","5","230","280","85","500","40","14","12","150","35","25","50","15","25","false","false","false","52","37","120","500","0","4","0"
"1","20","2.5","5","230","280","85","500","40","14","12","150","35","25","50","15","25","false","false","false","50","38","105","499","0","4","0"
"2","20","2.5","5","230","280","85","500","40","14","12","150","35","25","50","15","25","false","false","false","55","43","75","476","0","0","0"
"3","20","2.5","5","230","280","85","500","40","14","12","150","35","25","50","15","25","false","false","false","53","37","120","500","0","4","0"
"1","20","2.5","5","230","280","85","500","40","14","12","150","35","25","50","15","25","false","false","false","51","38","105","499","0","4","0"
"2","20","2.5","5","230","280","85","500","40","14","12","150","35","25","50","15","25","false","false","false","56","43","95","479","0","0","0"
"3","20","2.5","5","230","280","85","500","40","14","12","150","35","25","50","15","25","false","false","false","54","37","120","500","0","4","0"
"3","20","2.5","5","230","280","85","500","40","14","12","150","35","25","50","15","25","false","false","false","55","37","120","500","0","4","0"
