"BehaviorSpace results (NetLogo 6.2.2)"
"AntsVariablesTest.nlogo"
"Baseline 2"
"08/18/2022 10:52:15:202 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","nTrees","spawnChance","spiderStability","nutrition","showPS","nPrey","showPF","nAntlions","nSpiders","initFood","startingCount","showPA","nEnergy","week","antWars","nFlowers","nBushes","spawnRate","witherRate","[step]","count workers","food1Total","storedFoodTEST","count [bushes in-radius 10] of patch 0 0","count [bushes in-radius 20] of patch 0 0","count [bushes in-radius 30] of patch 0 0"
"203","25","1","100","100","false","25","false","5","2","500","40","false","500","80","35","50","15","2","5","394","48","1875","2007","1","3","5"
"207","25","1","100","100","false","25","false","5","2","500","40","false","500","80","35","50","15","2","10","357","48","1840","2004","1","3","5"
"195","25","1","100","100","false","25","false","5","2","500","40","false","500","80","35","50","15","1","5","1175","48","3555","2005","1","3","5"
"204","25","1","100","100","false","25","false","5","2","500","40","false","500","80","35","50","15","2","5","392","48","1835","2004","1","3","5"
"209","25","1","100","100","false","25","false","5","2","500","40","false","500","80","35","50","15","10","2","180","46","1815","2007","1","3","5"
"211","25","1","100","100","false","25","false","5","2","500","40","false","500","80","35","50","15","10","5","195","44","1875","2001","1","3","5"
"197","25","1","100","100","false","25","false","5","2","500","40","false","500","80","35","50","15","1","10","1105","48","3360","2003","1","3","5"
"210","25","1","100","100","false","25","false","5","2","500","40","false","500","80","35","50","15","10","2","243","48","1860","2012","1","3","5"
"212","25","1","100","100","false","25","false","5","2","500","40","false","500","80","35","50","15","10","5","199","46","1855","2012","1","3","5"
"215","25","1","100","100","false","25","false","5","2","500","40","false","500","80","35","50","15","10","10","217","44","1875","2010","1","3","5"
"213","25","1","100","100","false","25","false","5","2","500","40","false","500","80","35","50","15","10","5","211","45","1790","2001","1","3","5"
"216","25","1","100","100","false","25","false","5","2","500","40","false","500","80","35","50","15","10","10","211","45","1850","2010","1","3","5"
"191","25","1","100","100","false","25","false","5","2","500","40","false","500","80","35","50","15","1","2","1351","48","3725","2002","1","3","5"
"198","25","1","100","100","false","25","false","5","2","500","40","false","500","80","35","50","15","1","10","1172","48","3440","2009","1","3","5"
"214","25","1","100","100","false","25","false","5","2","500","40","false","500","80","35","50","15","10","10","244","48","1890","2014","1","3","5"
"218","25","1","100","100","false","25","false","5","2","500","40","false","500","200","35","50","15","1","2","568","47","1865","2002","1","3","5"
